,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
novelMiR_202,2191,539,1393,315,441,910,665,0,154,49,49,119,0,490,385,182,308,49,154,0,819,0,0,497,917,1057,476,0,0,0
novelMiR_175-1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_204,0,294,693,0,1708,560,385,0,1456,0,0,140,0,252,651,497,728,0,0,0,714,182,0,420,0,665,1106,0,1211,483
novelMiR_11_1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_13_1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_17_1,0,16,15,0,16,0,0,0,0,0,0,0,0,0,22,0,30,0,0,0,0,0,0,0,0,12,18,0,21,0
novelMiR_18_1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
novelMiR_20_1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
novelMiR_21_1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0
novelMiR_24_1,0,0,18,10,10,0,0,0,10,0,0,0,0,0,12,0,10,0,0,0,0,0,0,10,0,12,0,12,12,0
novelMiR_27_1,10,92,252,52,142,88,50,0,84,0,0,20,0,16,118,0,152,0,12,0,228,12,0,102,46,104,206,60,126,32
novelMiR_30_1,0,0,0,0,6,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
novelMiR_31_1,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_32_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_36_1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_37_1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_38_1,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_40_1,0,0,48,0,41,557,28,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,51,0,0,0,212,97,0
novelMiR_13_1-4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_45_1,166,64,283,0,106,27,31,0,15,0,0,27,0,82,43,0,0,0,0,0,18,0,0,0,54,0,7,0,8,0
novelMiR_46_1,0,0,565,0,278,310,222,8,0,0,18,260,8,0,0,0,0,24,91,0,231,37,0,0,0,0,0,0,0,0
novelMiR_47_1,0,0,0,0,6,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_49_1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_50_1,0,5,0,0,12,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,5,5,0,0,0,0,0,0,29,19
novelMiR_21-3,78,0,70,76,138,0,0,0,67,0,0,0,0,128,66,0,0,0,0,0,22,9,0,0,76,0,0,0,0,0
novelMiR_27_1-2,5,39,121,24,62,40,25,0,39,0,0,8,0,7,55,0,67,0,5,0,105,6,0,46,17,45,94,28,58,16
novelMiR_54_1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_21-1,78,0,70,76,138,0,0,0,67,0,0,0,0,128,66,0,0,0,0,0,22,9,0,0,76,0,0,0,0,0
novelMiR_58_1,51,34,36,10,24,16,0,0,6,0,0,7,0,14,16,0,0,0,0,0,36,0,0,14,38,28,40,15,6,0
novelMiR_59_1,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
novelMiR_62_1,0,0,0,108,323,0,0,0,0,19,18,0,8,0,0,0,126,0,0,0,209,0,0,0,0,485,0,0,0,0
novelMiR_63_1,5,11,8,0,7,7,10,0,9,0,0,10,0,8,15,0,21,0,5,0,20,0,0,14,18,20,0,0,15,0
novelMiR_28-1,0,0,715,0,399,0,201,0,529,0,19,0,0,169,451,0,657,49,0,0,0,0,0,0,0,561,0,256,0,0
novelMiR_29-1,10,0,91,0,72,67,34,0,98,0,0,17,0,17,91,0,98,0,0,0,0,0,0,0,0,0,67,0,0,71
novelMiR_29-2,10,0,91,0,72,67,34,0,98,0,0,17,0,17,91,0,98,0,0,0,0,0,0,0,0,0,67,0,0,71
novelMiR_67_1,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,9,0,10,0
