,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-199a-2,197,1328,511,2887,247,258,317,27,2660,56,25,245,35,369,1225,935,889,66,283,0,197,222,0,640,257,360,2296,117,6009,3005
hsa-mir-181b-1,0,1535,651,2779,344,778,415,64,4395,33,35,500,132,345,2208,4057,2224,105,428,0,1265,614,0,2429,452,1045,2056,160,6780,2388
hsa-mir-181a-1,6220,38087,18301,86981,11067,13847,12258,2029,130514,970,1000,13501,2664,7578,64038,101886,63942,2282,10549,12,30420,13222,55,81122,10544,33147,70642,4299,245721,93769
hsa-mir-29c,1566,3254,4876,1081,6614,9096,2050,177,2125,114,59,1084,89,3045,3885,482,13998,0,1009,0,0,0,0,6643,4492,6181,6181,691,5898,1255
hsa-mir-29b-2,0,1729,4395,820,4070,0,1179,82,1706,0,51,420,0,1367,3684,0,3999,106,0,0,2818,0,0,0,0,2692,0,753,0,0
hsa-mir-215,14,79,80,28,39,85,50,5,37,0,0,13,0,17,61,19,130,7,17,0,78,8,0,63,80,107,78,39,40,29
hsa-mir-194-1,143,443,289,166,204,372,196,26,250,7,6,72,10,70,270,154,624,30,45,0,356,39,0,187,166,470,220,122,375,85
hsa-mir-664a,133,344,739,203,410,599,382,48,329,6,6,50,5,92,221,191,825,22,37,0,508,80,0,310,928,453,777,198,508,181
hsa-mir-320b-2,34,30,57,68,46,142,25,0,73,0,0,8,0,25,84,28,61,0,12,0,52,0,0,64,65,64,59,24,127,56
hsa-mir-548ak,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,12,0
hsa-mir-107,1721,3536,7904,3101,3937,6777,2177,329,5493,63,111,1192,70,2583,5117,1768,5201,606,928,0,5788,555,13,4120,2493,5498,4250,2239,5636,2689
hsa-mir-3158-2,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0
hsa-mir-1307,1138,2002,2562,2502,1611,558,1793,207,2686,51,72,1187,28,1974,4638,151,3130,322,416,0,1896,68,0,968,1301,3556,1607,342,2892,666
hsa-mir-4482,0,0,7,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0
hsa-mir-2110,0,42,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,0,0,0,40,0,0,0,0,0
