,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-31_1,17,24,30,65,0,10,21,0,172,0,0,6,0,17,76,8,73,0,22,0,42,7,0,62,7,39,6,10,18,0
hsa-mir-3136,0,8,5,5,5,8,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,5,6,0,6,0
hsa-mir-3143,0,5,8,5,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0
hsa-mir-3157,0,6,19,7,9,15,10,0,6,0,0,0,0,0,8,0,10,0,0,0,8,0,0,9,6,14,8,0,11,0
hsa-mir-3177,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3194,5,9,12,7,12,13,7,0,15,0,0,7,0,0,20,6,0,0,0,0,17,0,0,0,5,10,12,6,0,0
hsa-mir-3194_1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,8,0,5,6,0,9,0
hsa-mir-32,1010,2466,3024,740,2143,2314,1879,152,1774,136,107,657,61,731,3908,282,4684,315,658,0,2358,167,20,1869,1486,3459,1600,648,2555,413
hsa-mir-32_1,0,45,59,19,26,28,35,6,34,0,0,14,0,12,45,10,66,0,0,0,45,6,0,25,20,45,40,10,38,17
hsa-mir-3202-1,0,0,5,0,0,7,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0
hsa-mir-320a_1,254,1138,1716,1569,1401,2936,653,53,1911,79,32,232,51,618,2477,589,2155,45,190,0,1681,224,0,1735,1707,1807,2994,703,2293,1457
hsa-mir-320b-1_1,34,30,60,70,50,147,27,0,75,0,0,8,0,25,90,28,62,0,12,0,53,8,0,67,66,65,62,25,132,58
hsa-mir-320b-2_1,34,30,60,70,50,148,27,0,77,0,0,8,0,25,93,28,62,0,12,0,53,8,0,67,66,67,62,26,134,58
hsa-mir-320c-1,13,0,10,11,0,13,0,0,0,0,0,0,0,0,6,0,6,0,0,0,5,0,0,6,0,7,8,0,10,6
hsa-mir-320c-2,13,0,10,11,0,13,0,0,0,0,0,0,0,0,6,0,6,0,0,0,5,0,0,0,0,7,8,0,9,6
hsa-mir-320d-1,12,5,6,10,0,12,0,0,0,0,0,0,0,0,7,0,9,0,0,0,6,0,0,7,5,5,8,0,8,0
hsa-mir-320d-2,12,5,6,10,0,12,0,0,0,0,0,0,0,0,7,0,9,0,0,0,6,0,0,7,5,5,8,0,8,0
hsa-mir-323b,0,0,5,9,0,0,0,0,39,0,0,0,0,0,16,38,18,0,0,0,0,0,0,7,0,0,15,0,46,68
hsa-mir-324_1,25,20,70,36,44,61,25,6,49,0,0,11,0,27,31,10,47,6,6,0,42,0,0,62,17,44,35,17,68,34
hsa-mir-328_1,17,73,58,84,82,72,41,0,84,0,9,5,5,42,31,73,55,0,12,0,58,15,0,73,71,39,146,8,202,101
hsa-mir-330_1,6,59,45,40,52,80,21,0,64,0,0,9,0,7,42,27,86,6,0,0,37,5,0,40,31,37,63,22,78,25
hsa-mir-331_1,77,252,494,188,222,317,87,20,457,7,8,160,12,130,1060,75,339,50,76,0,265,15,0,82,232,199,238,67,188,39
hsa-mir-335_1,99,416,689,370,458,154,426,86,407,20,0,131,12,178,877,134,801,38,171,0,551,147,6,252,398,586,246,258,664,408
hsa-mir-338_1,30,112,240,264,744,29,103,30,364,5,13,27,6,162,153,304,659,214,139,0,283,36,5,684,36,25,641,202,222,62
hsa-mir-339_1,247,587,962,545,1181,982,531,45,1106,25,24,181,16,646,1199,372,695,38,265,0,929,73,0,1402,367,368,372,177,1963,632
hsa-mir-33a,58,75,174,0,0,0,94,18,0,0,10,66,0,196,0,6,0,18,0,0,0,0,0,70,0,0,0,0,0,32
hsa-mir-33a_1,14,13,27,17,9,6,13,0,26,0,0,12,0,37,40,0,47,0,6,0,15,0,0,16,24,7,8,12,24,6
hsa-mir-33b,176,38,120,90,51,42,39,14,190,0,0,48,0,45,146,8,141,17,26,0,97,12,0,65,50,256,38,21,101,19
hsa-mir-340_1,7,116,119,96,102,29,67,11,145,0,0,23,5,13,102,121,64,8,20,0,98,22,0,83,53,79,162,46,231,168
hsa-mir-342_1,1532,5618,7126,2942,4507,11175,3420,117,4873,99,139,703,121,3736,8275,2263,9483,256,966,5,4571,511,0,6273,3369,6208,6535,1113,5350,2008
hsa-mir-345_1,213,632,1647,892,1080,745,524,56,1169,14,13,337,20,365,1519,651,1292,161,221,0,1235,170,0,711,642,1022,905,379,1151,594
hsa-mir-34a_1,37,33,816,62,119,338,48,34,138,18,25,58,10,138,0,23,210,15,72,0,0,10,0,200,6,57,75,119,38,12
hsa-mir-34c_1,0,0,9,15,0,0,0,0,32,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-3605_1,0,16,14,11,6,6,14,0,20,0,0,0,0,0,7,20,11,0,0,0,16,0,0,23,9,16,21,6,16,25
hsa-mir-3607,116,562,979,139,1294,351,311,43,655,59,39,145,28,149,1058,138,562,84,38,0,1591,130,0,430,534,883,819,499,738,93
hsa-mir-3609,7,10,11,0,23,23,6,0,11,0,0,0,0,6,6,5,20,0,0,0,13,5,0,14,24,25,18,0,18,12
hsa-mir-361_1,833,5067,8085,1409,7708,7402,3702,256,5181,349,312,1077,187,2158,5798,1640,6956,503,739,8,5785,988,56,4752,3572,5791,7691,2784,7738,1413
hsa-mir-3611,0,0,6,0,6,0,6,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,5,0,5,0,0,0
hsa-mir-3613_1,108,31,20,92,391,29,135,21,142,6,25,88,0,74,0,6,248,90,36,0,0,13,0,71,155,166,0,39,51,7
hsa-mir-3614_1,9,6,11,36,13,7,8,0,0,0,0,0,0,6,5,29,10,0,0,0,0,0,0,10,6,0,6,0,12,11
hsa-mir-3615_1,82,138,154,138,173,92,125,10,230,13,21,67,17,68,279,287,134,27,25,0,127,25,0,191,121,180,147,52,348,259
hsa-mir-362_1,22,87,113,23,93,131,55,8,89,5,0,45,0,28,80,13,138,12,12,0,58,0,0,87,89,154,0,37,49,10
hsa-mir-363_1,867,883,2420,835,226,494,347,57,1946,122,32,582,73,260,2665,759,1530,64,432,0,461,217,0,500,109,2441,535,756,5335,1446
hsa-mir-3651,0,0,20,0,13,11,0,0,6,0,0,5,0,0,8,0,0,0,0,0,16,0,0,8,6,5,0,21,12,0
hsa-mir-3653,6,12,51,13,51,13,16,0,13,0,0,10,0,6,15,5,23,0,0,0,42,0,0,25,22,40,40,38,23,7
hsa-mir-365a_1,0,7,14,15,0,0,0,0,17,0,0,0,0,0,6,10,9,0,0,0,0,0,0,0,5,5,0,0,21,13
hsa-mir-365b_1,0,7,14,15,0,0,0,0,17,0,0,0,0,0,6,10,9,0,0,0,0,0,0,0,5,5,0,0,21,13
hsa-mir-3677,0,0,6,9,5,0,5,0,12,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,6,9,0,0,18,11
hsa-mir-3681_1,0,0,146,0,100,33,65,0,0,0,0,10,0,0,0,0,93,16,0,0,237,0,0,0,45,44,35,34,9,12
hsa-mir-371b,6,12,10,0,6,0,0,0,0,0,0,0,0,0,10,9,13,0,0,0,0,0,0,15,9,0,11,0,6,0
hsa-mir-374a_1,164,863,1323,495,775,355,484,56,838,61,64,177,63,155,1236,109,1153,86,132,0,1006,107,5,529,600,612,610,406,737,193
hsa-mir-374b_1,5,37,49,35,32,13,23,0,35,0,0,12,5,6,31,11,80,7,0,0,42,10,0,30,15,24,33,14,41,15
hsa-mir-375_1,7,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,6,5,0,0,6
hsa-mir-378a_1,886,4450,8820,4558,5972,1496,2074,104,6746,388,331,1664,494,719,2688,3898,7102,325,711,0,7770,1104,22,3785,2134,5491,7158,5108,8407,3322
hsa-mir-378c,269,708,1444,246,1007,433,242,9,552,51,44,293,52,160,189,281,923,51,117,0,915,66,5,368,271,806,618,576,895,267
hsa-mir-378d-1,100,242,348,49,263,137,64,0,106,9,5,106,11,53,54,54,199,13,30,0,189,12,0,92,57,165,151,119,221,59
hsa-mir-378d-2,100,247,356,50,264,144,66,0,108,11,5,106,11,53,54,57,205,13,30,0,192,12,0,96,57,167,153,120,225,59
hsa-mir-378e,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-381_1,10,39,27,28,0,14,9,0,364,0,5,13,0,5,269,85,96,0,39,0,6,10,0,57,0,14,98,0,334,286
hsa-mir-3909_1,5,33,39,28,13,6,24,0,47,0,0,7,0,9,30,30,25,5,0,0,25,9,0,8,16,17,29,7,9,0
hsa-mir-3912_1,10,48,102,28,82,95,40,0,59,0,0,15,0,31,119,14,113,6,16,0,87,12,0,80,50,60,61,35,73,29
hsa-mir-3916,0,5,8,6,6,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,8,0,0,10,0,15,8,0,6,0
hsa-mir-3942_1,0,6,9,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0
hsa-mir-409_1,0,67,16,52,0,16,20,0,317,0,0,9,0,11,338,402,126,0,15,0,0,20,0,109,0,16,193,0,509,689
hsa-mir-410_1,10,73,43,44,0,11,10,7,316,0,8,17,0,10,290,224,139,9,44,0,10,13,0,89,0,7,144,0,410,413
hsa-mir-411_1,16,122,45,49,9,31,21,5,0,5,10,27,0,14,0,256,157,20,106,0,15,38,0,148,0,17,115,0,0,0
hsa-mir-421_1,44,329,395,306,207,128,137,14,386,0,11,41,8,25,180,291,336,20,38,0,345,71,0,249,165,300,397,77,600,346
hsa-mir-423_1,1618,8035,6698,6661,7978,7425,6337,420,7157,218,194,1221,115,1826,6678,6575,7043,671,694,5,10303,1163,16,9808,6020,9536,9927,2572,19317,9021
hsa-mir-424_1,7,19,10,39,14,7,5,0,41,0,0,5,0,6,11,67,12,0,10,0,7,8,0,18,9,71,17,0,20,22
hsa-mir-425,795,2663,5195,2988,2455,2064,1965,157,3992,41,58,575,33,930,2620,2093,4648,279,571,0,3579,450,8,3361,2502,3934,4184,1023,4594,2404
hsa-mir-425_1,56,98,286,206,126,73,83,6,211,8,12,34,10,66,173,48,238,15,31,0,153,19,0,134,131,174,290,50,143,171
hsa-mir-429_1,0,0,10,0,0,7,0,0,5,0,0,0,0,0,5,0,6,0,0,0,9,0,0,0,6,6,6,0,11,0
hsa-mir-431,0,19,8,11,0,0,5,0,51,0,0,6,0,0,58,38,25,0,20,0,0,0,0,29,0,0,17,0,112,132
hsa-mir-4326_1,7,10,17,6,9,11,6,0,5,0,0,0,0,0,0,7,10,0,0,0,5,0,0,11,9,14,0,0,10,9
hsa-mir-4424_1,0,15,19,6,33,20,12,0,10,0,0,0,0,0,1636,0,31,0,0,0,19,0,0,1124,21,346,39,6,75,20
hsa-mir-4432,0,10,57,0,20,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,8,13,31,0,0,0
hsa-mir-4443,0,0,32,35,110,42,17,0,42,0,0,11,0,23,0,27,61,11,12,0,58,7,0,7,10,15,0,13,38,20
hsa-mir-4449,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4464,7,26,82,17,47,31,18,0,8,0,0,0,0,7,116,0,21,0,6,0,23,0,0,25,19,13,41,6,26,0
hsa-mir-4482_1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,18,0,14,5
hsa-mir-4491,0,0,14,0,8,0,0,0,0,0,0,0,0,0,16,0,12,0,0,0,6,0,0,0,6,0,10,7,10,0
hsa-mir-450b_1,10,39,49,60,43,6,24,0,84,0,0,11,0,9,37,60,41,0,13,0,15,10,0,34,23,29,30,5,20,14
hsa-mir-4512,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-451a,13441,402,79,458,133,264,289,121,1360,45,0,87,0,206,1788,757,3603,49,246,0,54,242,0,2237,323,27807,758,203,103,38
hsa-mir-4520a,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,10,0,0,0
hsa-mir-4524a_1,8,44,181,8,69,33,39,5,11,0,0,51,0,9,94,8,92,6,10,0,97,0,0,52,48,80,94,39,0,0
hsa-mir-454_1,129,625,854,334,405,508,268,33,752,17,8,131,40,146,544,285,625,32,74,0,621,138,0,349,232,470,509,158,866,280
hsa-mir-4645,6,11,6,21,0,9,0,0,14,0,0,0,0,0,6,9,8,0,0,0,6,0,0,6,0,0,15,0,29,12
hsa-mir-4659a,0,0,5,0,5,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,9,0,5,0
hsa-mir-4662a_1,13,33,19,29,9,53,57,0,47,0,0,0,0,11,43,17,51,0,12,0,48,15,0,58,70,23,24,42,118,54
hsa-mir-4677_1,16,29,62,43,39,24,46,0,56,0,0,14,0,6,66,19,73,0,9,0,57,8,0,67,34,52,86,15,51,55
hsa-mir-4687,0,0,7,8,0,5,0,0,8,0,0,0,0,0,5,8,6,0,0,0,5,0,0,0,8,0,9,0,5,6
hsa-mir-4746,5,5,7,13,5,0,0,0,14,0,0,0,0,0,8,6,11,0,0,0,6,0,0,0,0,10,18,0,11,9
hsa-mir-4767,0,5,8,0,9,7,0,0,5,0,0,0,0,0,10,0,5,0,0,0,5,0,0,0,0,0,0,0,49,8
hsa-mir-4772_1,5,12,6,23,8,0,5,0,0,0,0,0,0,0,26,0,23,0,0,0,12,0,0,0,0,0,6,0,0,0
hsa-mir-4775_1,5,5,15,5,11,0,0,0,0,0,0,0,0,0,6,5,16,0,0,0,15,0,0,14,0,10,20,7,12,0
hsa-mir-4781_1,0,8,16,6,10,17,6,0,13,0,0,0,0,0,12,5,26,0,0,0,10,0,0,18,11,10,21,0,16,10
hsa-mir-4791,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,7,6,0,6,0
hsa-mir-484_1,593,1480,1117,2143,1516,2931,900,95,2803,25,53,363,47,665,2119,991,1826,137,542,0,1081,227,0,1356,899,2075,2267,289,3622,1938
hsa-mir-486_1,139,487,1283,184,683,539,451,18,246,16,6,98,10,204,650,344,660,44,104,0,802,78,0,818,475,718,1259,376,487,223
hsa-mir-497_1,33,23,40,36,71,73,25,0,29,5,0,10,0,24,93,0,137,0,7,0,93,12,0,47,62,79,37,18,74,13
hsa-mir-499a_1,10,35,60,8,77,73,36,0,23,0,0,8,0,13,21,0,41,0,11,0,47,0,0,24,41,60,42,11,23,9
hsa-mir-5000_1,7,14,32,0,5,19,8,0,7,0,0,0,0,10,39,0,34,0,0,0,12,0,0,11,18,11,21,7,16,7
hsa-mir-5001_1,6,9,10,0,12,19,5,0,12,0,0,0,0,6,9,0,18,0,0,0,14,0,0,11,10,23,10,6,15,0
hsa-mir-500a_1,92,488,671,631,343,426,353,30,1044,12,18,121,38,121,466,530,805,30,83,0,456,111,0,475,454,624,340,223,513,292
hsa-mir-501_1,51,120,95,96,108,402,81,0,100,0,7,24,0,42,66,104,195,10,21,0,71,8,0,158,141,248,83,26,61,58
hsa-mir-5010_1,0,11,18,11,12,6,8,0,19,0,0,0,0,5,8,0,16,0,0,0,0,0,0,9,13,6,24,0,18,7
hsa-mir-502_1,33,166,185,138,136,197,107,8,278,0,6,48,9,48,143,136,262,10,16,0,148,30,0,146,177,223,68,65,143,38
hsa-mir-505_1,34,112,120,70,81,48,54,0,120,0,0,24,5,45,155,61,107,10,13,0,113,14,0,62,112,65,69,46,98,35
hsa-mir-5091,0,10,8,7,23,8,17,0,5,0,0,13,0,20,0,0,48,11,0,0,31,0,0,25,12,14,27,0,17,5
hsa-mir-5196_1,0,0,9,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,13,0,98,37
hsa-mir-532,332,1003,1913,561,871,1457,764,86,1297,64,136,287,82,448,967,630,1453,176,186,7,1016,344,7,1164,1326,1540,344,398,682,227
hsa-mir-532_1,23,93,148,52,83,146,82,0,129,0,7,26,0,43,85,45,113,14,13,0,51,19,0,96,119,127,32,39,70,27
hsa-mir-542_1,6,6,27,40,12,0,18,0,44,0,0,7,0,12,22,11,32,0,7,0,11,5,0,9,11,10,13,0,6,7
hsa-mir-545,0,6,7,7,8,0,5,0,0,0,0,0,0,0,10,0,5,0,0,0,8,0,0,6,0,8,5,0,6,0
hsa-mir-545_1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
hsa-mir-548ak_1,0,0,6,5,11,0,0,0,5,0,0,0,0,0,11,0,24,0,0,0,0,0,0,9,0,0,10,6,12,0
hsa-mir-548al,0,0,16,0,13,0,0,0,6,0,0,0,0,0,7,0,8,0,0,0,6,0,0,6,0,8,9,7,6,0
hsa-mir-548ap_1,0,6,6,5,8,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,15,0,5,0
hsa-mir-548e_1,0,38,27,36,52,41,18,0,35,0,0,5,0,7,40,22,33,0,7,0,48,8,0,24,28,39,50,6,82,16
hsa-mir-548j_1,0,15,13,13,17,9,5,0,15,0,0,0,0,0,12,0,12,0,0,0,11,5,0,7,8,0,24,0,12,8
hsa-mir-548k_1,16,115,141,114,112,60,92,5,217,10,5,18,5,27,164,66,167,0,12,0,151,40,0,125,99,114,210,47,159,108
hsa-mir-548o,5,19,21,24,16,14,6,0,34,0,0,5,0,5,31,18,34,0,6,0,20,11,0,26,11,13,48,14,57,13
hsa-mir-548w_1,0,6,9,7,16,0,0,0,10,0,0,0,0,0,12,0,36,0,0,0,8,0,0,9,5,0,16,9,19,0
hsa-mir-550a-3_1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-5690_1,0,25,18,16,6,21,21,0,35,0,0,12,0,0,28,0,23,0,7,0,10,0,0,8,13,18,19,0,12,0
hsa-mir-5696,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-5701-1,66,84,195,41,185,67,93,11,107,10,0,48,0,50,147,25,192,40,17,0,248,16,0,131,114,211,115,170,59,45
hsa-mir-5701-2,66,84,195,41,185,67,93,11,107,10,0,48,0,50,147,25,192,40,17,0,248,16,0,131,114,211,115,170,59,45
hsa-mir-5706_1,0,0,7,0,0,0,0,0,5,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,7,9,0,0,0
hsa-mir-574_1,50,233,487,169,371,248,323,23,226,0,12,70,0,89,299,145,228,33,84,0,217,35,0,206,338,223,396,109,137,63
hsa-mir-576_1,0,5,12,14,7,8,0,0,11,0,0,0,0,0,16,5,16,0,0,0,8,0,0,9,0,8,12,0,7,0
hsa-mir-577_1,109,521,832,158,419,1163,652,15,214,0,0,78,0,109,748,77,1447,21,47,0,821,65,0,330,448,635,743,238,547,164
hsa-mir-580,0,10,8,9,13,7,0,0,10,0,0,0,0,6,14,0,20,0,0,0,8,0,0,0,0,8,9,0,11,5
hsa-mir-582_1,45,85,176,277,79,19,53,6,337,6,0,48,0,48,109,37,215,8,30,0,19,27,0,45,66,21,25,0,187,74
hsa-mir-584_1,71,293,53,683,7,41,27,0,676,18,5,28,0,74,210,235,276,9,116,0,11,89,0,239,8,186,1020,0,1352,1441
hsa-mir-589_1,0,7,12,8,5,12,5,0,11,0,0,0,0,0,16,6,14,0,0,0,11,0,0,7,7,10,11,0,13,0
hsa-mir-590_1,75,338,289,106,345,264,246,16,206,12,15,32,11,57,375,37,436,19,40,0,318,33,0,180,255,283,223,73,249,64
hsa-mir-598_1,165,222,387,153,267,253,228,24,286,13,19,103,11,152,611,67,442,141,75,0,253,44,7,214,228,268,171,204,252,73
hsa-mir-6087,5,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-616_1,5,37,34,0,29,68,21,0,18,0,0,11,0,6,0,30,41,0,0,0,55,0,0,54,36,47,55,11,46,16
hsa-mir-618_1,5,6,16,22,9,0,0,0,0,0,0,0,0,10,15,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-624,7,6,5,6,10,0,0,0,8,0,0,6,0,0,13,0,9,0,0,0,11,0,0,9,5,7,12,0,0,0
hsa-mir-625_1,22,134,98,35,109,166,56,0,60,0,0,14,0,24,49,56,65,17,24,0,119,17,0,130,87,139,238,19,476,204
hsa-mir-627_1,0,15,16,17,16,19,0,0,18,0,0,0,0,6,37,0,23,0,0,0,17,0,0,9,7,15,15,5,26,5
hsa-mir-628_1,7,28,30,59,22,32,18,0,29,0,0,13,0,7,29,26,35,0,8,0,10,6,0,35,26,36,62,9,43,39
hsa-mir-629_1,0,7,6,6,8,6,0,0,17,0,0,0,0,9,11,5,17,0,0,0,8,0,0,0,17,8,6,0,8,5
hsa-mir-641,7,36,38,26,43,44,40,5,38,0,0,7,0,10,70,19,49,5,8,0,62,10,0,31,30,47,51,12,67,29
hsa-mir-6503,0,8,15,51,0,8,11,0,57,0,7,12,0,6,16,15,24,8,7,0,20,6,0,15,11,5,25,0,19,8
hsa-mir-651_1,8,72,84,16,44,32,15,0,18,0,0,0,0,11,43,0,71,0,5,0,35,0,0,17,32,50,36,12,38,10
hsa-mir-6513_1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,0,13,5
hsa-mir-652_1,218,369,341,783,241,822,224,20,837,12,8,77,5,283,663,441,559,49,152,0,245,32,0,520,271,526,576,119,919,486
hsa-mir-654_1,19,158,38,92,0,35,46,0,590,6,16,24,0,11,478,366,225,14,118,0,18,18,0,205,0,29,268,0,794,795
hsa-mir-659_1,6,42,94,34,44,33,22,0,43,0,0,8,0,9,60,12,84,0,0,0,51,0,0,61,29,59,66,16,35,22
hsa-mir-660_1,0,9,7,0,9,0,0,0,11,0,0,0,0,0,5,0,10,0,0,0,5,0,0,0,6,10,0,0,5,0
hsa-mir-664a_1,133,344,739,203,410,599,382,48,329,6,6,50,5,92,221,191,825,22,37,0,508,80,0,310,928,453,777,198,508,181
hsa-mir-664b_1,15,30,55,14,55,26,22,0,47,0,0,9,0,19,53,17,67,5,7,0,37,9,0,21,61,28,46,27,23,5
hsa-mir-671_1,22,218,167,160,142,226,105,0,122,10,7,34,8,44,115,128,243,25,28,0,218,31,0,273,163,196,365,69,371,265
hsa-mir-7-1_1,78,184,152,92,149,200,97,8,139,11,6,30,6,55,348,92,264,11,34,0,166,23,0,250,114,190,168,49,195,60
hsa-mir-744_1,0,7,8,18,0,0,6,0,16,0,0,0,0,0,8,10,15,0,0,0,6,0,0,5,0,7,11,0,19,14
hsa-mir-766_1,39,293,189,192,132,63,100,15,232,0,0,55,0,71,226,102,213,32,43,0,157,10,0,126,147,114,309,71,266,193
hsa-mir-769_1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-873,5,382,55,144,10,15,25,26,147,0,0,100,6,55,59,131,251,0,13,0,68,67,0,92,35,33,94,0,5,0
hsa-mir-873_1,0,65,6,18,0,9,5,0,28,0,0,10,0,10,8,23,40,0,0,0,12,12,0,13,8,0,12,0,0,0
hsa-mir-874_1,15,137,131,75,11,282,51,6,129,0,0,37,8,77,157,31,269,24,32,0,185,18,0,57,70,174,64,34,77,32
hsa-mir-877,0,9,9,17,10,9,0,0,16,0,0,0,0,0,15,8,25,0,0,0,14,0,0,21,10,7,30,5,52,37
hsa-mir-92a-1_1,8,60,35,9,54,68,31,0,28,0,0,6,0,21,68,27,43,0,8,0,72,8,0,92,48,42,84,20,101,42
hsa-mir-92b_1,281,600,1210,676,615,289,501,130,723,36,143,211,35,118,471,359,636,132,436,0,839,149,33,1217,446,770,1538,182,753,1128
hsa-mir-93_1,12,58,64,46,47,38,39,0,87,6,0,14,0,8,58,50,50,0,10,0,62,10,0,37,48,64,61,23,80,24
hsa-mir-940,0,0,5,11,6,0,5,0,11,0,0,0,0,0,6,0,13,0,0,0,9,0,0,0,0,5,11,0,0,0
hsa-mir-941-1_1,500,1761,1761,2578,1493,1384,1254,118,3802,60,37,470,148,470,535,2172,2520,179,1050,0,987,287,0,1358,1156,896,1380,499,1501,802
hsa-mir-941-3,500,1761,1761,2578,1493,1384,1254,118,3802,60,37,470,148,470,535,2172,2520,179,1050,0,987,287,0,1358,1156,896,1380,499,1501,802
hsa-mir-942_1,6,17,8,10,12,23,10,0,20,0,0,0,0,0,13,21,22,0,11,0,13,10,0,19,16,21,21,7,57,14
hsa-mir-944_1,0,0,22,5,0,0,0,0,6,0,0,0,0,0,89,0,0,0,0,0,0,8,0,0,0,0,16,0,16,12
hsa-mir-98,689,4656,7630,3282,3504,2010,3208,156,3148,110,162,1220,162,791,3082,1552,5048,321,796,0,3869,717,6,5153,2083,5864,7790,1875,5614,6429
hsa-mir-98_1,7,54,15,51,16,5,23,0,48,6,0,0,0,6,22,21,13,0,6,0,24,0,0,15,17,23,42,0,79,48
hsa-mir-99a_1,0,6,15,14,0,7,11,0,37,0,0,0,0,0,25,8,42,7,26,0,0,0,0,10,0,6,17,0,36,21
hsa-mir-99b,36,269,57,0,40,197,106,24,0,0,10,25,9,54,0,140,357,8,234,0,94,26,0,0,39,123,541,9,0,0
hsa-mir-99b_1,0,0,6,12,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,10,11
hsa-mir-196a-2,0,0,0,7,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,14,0,0,7,0,8,0,0,0,0
hsa-mir-6502,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-493,0,10,0,0,0,0,0,0,42,0,0,0,0,0,34,18,11,0,7,0,0,0,0,9,0,0,13,0,0,61
hsa-mir-337,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
hsa-mir-127,0,0,0,0,0,0,0,0,27,0,0,0,0,0,21,14,11,0,0,0,0,7,0,0,0,0,0,0,26,31
hsa-mir-370,0,0,0,0,0,0,0,0,19,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,0,0,25,48
hsa-mir-379,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0
hsa-mir-1197,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13
hsa-mir-758,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
